payment_id,order_id,provider,customer_email,amount_usd,currency,status,date,time
1e62fea7393c413f,,stripe,h87fa8ikap7h@example.com,221.57,USD,FAILED,2026-01-18,23:07:50
1a148f1aa14b4257,b892219c1a464b67,flutterwave,pja8xkh@outlook.com,124.69,USD,FAILED,2026-02-14,13:24:17
c4f8857e93044fc3,2d69081add454d3a,stripe,ss4bhi@outlook.com,197.77,USD,SUCCESS,2026-02-08,08:58:00
5ed457552182491c,833fb47e84964722,paypal,ke9q1p5wbbx@gmail.com,70.6,USD,FAILED,2026-01-29,18:28:03
18ac6f99e6024c1e,2fe3a0d509634550,flutterwave,lyg4wct@gmail.com,180.58,USD,SUCCESS,2026-01-20,07:00:21
b59241f65be04e19,cbaca770f2a44673,paypal,lzt2gzih17f1@yahoo.com,184.96,USD,SUCCESS,2026-02-06,15:28:12
54cec4cc9f4246ee,0a7f5f2e4d3a4360,paypal,95ay22gc@gmail.com,135.83,USD,SUCCESS,2026-02-10,04:35:19
13aaac32bf844627,36c0beac6d884d8f,flutterwave,9mg56r1@outlook.com,188.15,USD,SUCCESS,2026-02-02,12:14:25
653a5609e5164abc,a06c8329bdc442e1,stripe,89eaqu@example.com,113.88,USD,SUCCESS,2026-01-21,14:38:05
5f0b4bc6b9a84c34,a09bf44488284255,stripe,vun8efvwf@yahoo.com,108.18,USD,SUCCESS,2026-01-30,14:19:40
898aeb8bd2d14857,e8942c5fbc5b4421,stripe,5lw5zfue08p@yahoo.com,128.45,USD,SUCCESS,2026-01-21,07:10:45
2edbdc65aad54c2d,499c0c0daec54bca,paypal,wyfx4l@yahoo.com,241.24,USD,SUCCESS,2026-02-11,11:14:37
309c60bed62d45f6,8d58d81f0fc14657,stripe,t0yyz3t2@gmail.com,20.68,USD,FAILED,2026-02-07,01:04:48
07ef4e1caa2f4fed,bba6896f75b04004,flutterwave,3nda0dnubxyy@example.com,92.91,USD,SUCCESS,2026-02-12,06:11:26
