payment_id,order_id,provider,customer_email,amount_usd,currency,status,date,time
cc45cf4bb7b2455c,000a3e81efcc4163,stripe,6ivqp5rpd91@gmail.com,245.22,USD,FAILED,2026-02-15,00:21:05
c65093ec445c4082,000a3e81efcc4163,stripe,62okfsedvkx@example.com,245.22,USD,SUCCESS,2026-02-15,01:55:04
44d87835b34f4e44,0029755712da4014,flutterwave,8gh9n03evkkq@outlook.com,240.17,USD,SUCCESS,2026-01-26,07:31:03
547555c9491c4c88,0029755712da4014,paypal,4uagr20x10bt@outlook.com,240.17,USD,PENDING,2026-01-26,07:22:32
1e794962be80408e,00364781550b4e26,flutterwave,c0ttfdbel@example.com,207.72,USD,FAILED,2026-01-23,18:08:06
44ddab67126d4c35,00364781550b4e26,flutterwave,g1ff7m1@yahoo.com,207.72,USD,SUCCESS,2026-01-23,20:58:12
56c22038da174ce0,00369e08b0b24a9e,stripe,tn8ejljvue@gmail.com,144.55,USD,PENDING,2026-02-09,19:58:19
905e0bce18804d4c,00369e08b0b24a9e,flutterwave,y6rlhy358usa@yahoo.com,144.55,USD,SUCCESS,2026-02-09,22:28:26
ecfddfe70a854e59,003a7ccbd11f47c3,paypal,5v42bx@gmail.com,230.3,USD,SUCCESS,2026-01-27,16:53:30
704308f0f0a343e0,003a7ccbd11f47c3,flutterwave,qpzr4bzd8d@outlook.com,230.3,USD,SUCCESS,2026-01-27,19:00:31
e79c87e97c7c472c,00410e2e163840d5,stripe,87b4bxw8vey@gmail.com,109.26,USD,SUCCESS,2026-01-27,23:07:44
8226fb7e498a4ca4,00410e2e163840d5,paypal,56v1ramb@gmail.com,109.26,USD,PENDING,2026-01-27,21:14:20
072a297e70734fc5,0042625ccfb04280,stripe,sv7up1u@yahoo.com,119.86,USD,SUCCESS,2026-01-25,22:37:19
ba76cb7108e34fd2,0042625ccfb04280,flutterwave,vxzavspjhn@gmail.com,119.86,USD,PENDING,2026-01-25,21:04:57
d3f04825f3f54b18,004350af9efc46ce,stripe,qrv63b6y2@outlook.com,132.31,USD,PENDING,2026-01-28,14:10:23
f25ea60487af47ab,004350af9efc46ce,stripe,rilr28z@outlook.com,132.31,USD,FAILED,2026-01-28,16:36:09
17742f458c894e3b,004350af9efc46ce,flutterwave,jkcsx2zl@example.com,132.31,USD,SUCCESS,2026-01-28,15:18:49
a70ad61ba0c346d9,004692f476a64a71,stripe,5zfdtddsr@example.com,38.13,USD,SUCCESS,2026-01-30,08:43:30
c5803cb349054c0b,004692f476a64a71,paypal,mokckzxcs@yahoo.com,38.13,USD,SUCCESS,2026-01-30,11:03:06
b171f6b69312418b,004b10cd229547fe,paypal,5m4g3hg@gmail.com,130.97,USD,FAILED,2026-01-27,12:06:16
8a3477dbe2024b75,004b10cd229547fe,flutterwave,lsr5d8xve73@yahoo.com,130.97,USD,SUCCESS,2026-01-27,10:39:28
948595a5027f4b8f,0056619a43e74752,paypal,k26qrplq@yahoo.com,233.72,USD,PENDING,2026-02-01,09:58:52
6aeaf902a6564f74,0056619a43e74752,stripe,1w1bki@yahoo.com,233.72,USD,FAILED,2026-02-01,12:14:32
5b32a271215f43d6,0056619a43e74752,paypal,yq1oxm6@example.com,233.72,USD,SUCCESS,2026-02-01,11:15:15
823f7f941bc14624,006382413c324d19,stripe,ig8pied8v07y@gmail.com,213.12,USD,PENDING,2026-01-18,14:47:27
3677ef590880420d,006382413c324d19,stripe,va71yy6@outlook.com,213.12,USD,SUCCESS,2026-01-18,15:45:29
8cc2be84041c420b,0064b5d3812c4d79,paypal,77vt8ro5n27i@outlook.com,268.86,USD,SUCCESS,2026-02-13,10:23:03
f0b0fdae781a430e,0064b5d3812c4d79,flutterwave,53nh8av@gmail.com,268.86,USD,PENDING,2026-02-13,08:45:20
b7a70eb8312e4357,007285c80d6648be,stripe,6g05756gpy@gmail.com,147.25,USD,SUCCESS,2026-01-20,01:30:57
